188,461
715,36
346,437
576,244
723,471
290,68
789,839
844,638
97,29
862,750
753,42
145,461
984,574
819,274
621,728
218,747
750,144
558,993
637,526
863,721
97,741
607,487
100,794
54,109
244,830
505,306
321,931
102,981
466,364
679,112
884,460
144,754
336,872
807,653
991,993
55,798
204,946
552,898
775,952
782,373
338,655
124,398
257,201
438,111
387,265
368,17
583,110
751,676
13,635
201,443
691,923
539,934
744,42
551,625
232,862
584,218
77,796
252,328
214,639
108,935
735,828
259,55
92,985
649,924
539,68
75,161
325,15
520,654
625,592
362,728
