298,9229
764,6062
557,3129
395,1852
394,1178
14,9755
624,4628
238,3495
565,637
113,1080
158,4686
422,9736
501,5494
643,7190
368,6126
32,8035
410,87
591,8826
712,9759
43,4413
450,2883
474,1562
883,6734
529,5900
903,5488
754,6142
265,522
428,8346
558,4645
168,3808
1,6994
683,2690
908,4796
420,524
847,890
372,7233
609,4016
525,5520
16,597
881,6613
398,2544
664,284
858,9307
333,6577
968,6714
950,6515
518,7861
894,6663
84,7584
976,5512
704,2428
578,5147
627,5222
964,1041
459,7805
83,4054
101,5905
495,2663
342,2711
549,5873
367,857
610,1219
835,7578
493,2821
823,2343
798,7218
797,8297
417,3633
196,9927
330,1634
223,889
68,3779
352,391
210,818
385,6351
112,3965
295,2550
207,9397
708,9782
931,2033
271,3173
587,1839
690,1686
213,8677
696,2393
563,6246
825,157
782,5008
955,7558
421,8594
895,8409
626,8682
157,5845
881,1388
460,5692
214,5951
634,638
106,8642
844,2694
553,7276
164,5166
260,4561
884,494
270,5936
91,3314
437,633
371,825
862,5180
123,2425
837,781
32,2256
96,3139
243,1350
247,3167
215,2318
3,9562
298,3307
480,1464
110,2784
456,7896
954,4799
381,7037
273,6930
290,3831
639,9288
550,8186
364,1240
455,6721
750,8801
655,4331
967,9058
390,2371
392,1925
59,1805
24,7878
952,1132
894,9681
841,2833
