969,148
496,589
194,259
279,273
190,13
236,124
265,613
256,90
814,192
8,32
491,962
498,972
683,839
69,197
704,133
619,372
642,854
316,610
121,732
95,684
891,541
87,466
346,174
256,981
285,964
204,806
209,638
255,867
916,877
507,964
679,69
361,644
213,702
997,115
107,611
92,688
254,451
613,636
692,14
209,594
160,519
32,874
46,88
201,604
150,52
30,690
632,397
690,7
141,925
664,947
558,170
577,456
212,955
129,383
699,503
151,99
251,125
576,336
204,293
718,220
85,53
338,243
801,609
619,433
296,402
937,447
349,574
667,185
497,80
121,143
435,94
343,815
